,STATION,LATITUDE,LONGITUDE
0,00702699999.csv,0.0,0.0
0,00841199999.csv,,
0,00841499999.csv,,
0,00841599999.csv,,
0,00841899999.csv,,
0,01001099999.csv,70.9333333,-8.666666699999999
0,01001499999.csv,59.791925,5.34085
0,01002099999.csv,80.05,16.25
0,01003099999.csv,77.0,15.5
0,01006099999.csv,78.25,22.8166666
0,01007099999.csv,78.9166666,11.933333300000001
0,01008099999.csv,78.246111,15.465556
0,01009099999.csv,80.65,25.0
0,01010099999.csv,69.2925,16.144167000000003
0,01011099999.csv,80.06666659999999,31.5
0,01015099999.csv,69.6,17.8333333
0,01016099999.csv,78.9333333,28.9
0,01017099999.csv,77.6833333,14.7833333
0,01020099999.csv,76.4833333,16.55
0,01023099999.csv,69.055758,18.540356
0,01023199999.csv,64.35,7.8
0,01024099999.csv,78.65,16.3666666
0,01025099999.csv,69.68333299999999,18.918919
0,01026099999.csv,69.65,18.9333333
0,01027099999.csv,69.65,18.9
0,01028099999.csv,74.5166667,19.0166667
0,01030099999.csv,69.2833333,18.1333333
0,01033099999.csv,70.25,19.5
0,01035099999.csv,69.56666659999999,20.1
0,01036099999.csv,69.56666659999999,20.4333333
0,01037099999.csv,69.3833333,20.283333300000002
0,01042099999.csv,70.6,22.45
0,01043099999.csv,70.4166666,22.8166666
0,01044099999.csv,70.486675,22.139744
0,01046099999.csv,69.786839,20.959444
0,01047099999.csv,69.0166667,23.0666667
0,01049099999.csv,69.976111,23.371667000000002
0,01052099999.csv,70.6833333,23.6833333
0,01055099999.csv,71.1,23.9833333
0,01058099999.csv,69.56666659999999,23.533333300000002
0,01059099999.csv,70.068814,24.973489
0,01062099999.csv,76.5,25.0666667
0,01065099999.csv,69.4666666,25.516666600000004
0,01068099999.csv,71.0166667,25.9833333
0,01074099999.csv,71.0333333,27.8333333
0,01076099999.csv,70.2166666,28.166666600000003
0,01078099999.csv,71.1,28.233333299999998
0,01082099999.csv,69.15,29.25
0,01083099999.csv,70.8666667,29.0333333
0,01084099999.csv,69.45,30.0333333
0,01086099999.csv,70.600256,29.692678000000004
0,01087599999.csv,59.5666666,2.2166666
0,01087699999.csv,66.0166666,8.0833333
0,01087799999.csv,60.6333333,3.7166666
0,01087899999.csv,61.45,2.1333333
0,01087999999.csv,61.533333299999995,2.2
0,01088099999.csv,70.0666667,29.85
0,01088299999.csv,62.578410999999996,11.342347
0,01088699999.csv,58.366666599999995,1.9
0,01088799999.csv,60.8858,3.6097
0,01089099999.csv,69.725611,29.893010999999998
0,01092099999.csv,70.7,30.0833333
0,01098099999.csv,70.3666666,31.1
0,01099099999.csv,70.35539200000001,31.044889
0,01102099999.csv,65.2,11.0
0,01102599999.csv,65.33333329999999,7.3166667
0,01105099999.csv,68.3666666,15.95
0,01107099999.csv,67.5166667,12.1
0,01108099999.csv,65.7,11.85
0,01112099999.csv,65.461111,12.2175
0,01114099999.csv,66.9,13.633333300000002
0,01115099999.csv,66.7666666,12.483333300000002
0,01116099999.csv,65.95,12.4666666
0,01117099999.csv,65.81666659999999,12.4166666
0,01121099999.csv,66.3666666,12.6166666
0,01122099999.csv,65.783997,13.214914000000002
0,01124099999.csv,64.1666666,12.4666666
0,01132099999.csv,65.1666666,13.3666666
0,01133099999.csv,65.6166666,13.2833333
0,01135099999.csv,66.1166666,13.583333300000001
0,01139099999.csv,67.65,12.7166666
0,01141099999.csv,68.15,13.616666699999998
0,01143099999.csv,68.05,16.0833333
0,01144099999.csv,67.4,13.883333300000002
0,01146099999.csv,66.2333333,13.883333300000002
0,01147099999.csv,65.83333329999999,14.183333300000001
0,01148099999.csv,66.3833333,14.516666599999999
0,01150099999.csv,66.5,14.95
0,01151099999.csv,66.3666666,14.3
0,01152099999.csv,67.26916700000001,14.365278
0,01156099999.csv,68.6,14.433333300000001
0,01158099999.csv,67.1666666,15.483333300000002
0,01160099999.csv,68.15,14.65
0,01161099999.csv,68.25,14.666666699999999
0,01162099999.csv,68.58333329999999,15.016666699999998
0,01167099999.csv,68.7,15.4166666
0,01169099999.csv,66.9333333,15.3166666
0,01180099999.csv,68.8,16.533333300000002
0,01183099999.csv,68.4913,16.678107999999998
0,01192099999.csv,68.4166666,17.65
0,01193099999.csv,68.4666667,17.5
0,01198099999.csv,68.7833333,19.7
0,01199099999.csv,68.75,23.533333300000002
0,01203099999.csv,62.033333299999995,4.9833333
0,01205099999.csv,62.3333333,5.2666666
0,01209099999.csv,62.1833333,6.0666667
0,01210099999.csv,62.560371999999994,6.110164
0,01212099999.csv,62.866666599999995,6.5333333
0,01214099999.csv,62.65,6.7666666
0,01217099999.csv,62.744721999999996,7.2625
0,01218099999.csv,62.2333333,7.4166666
0,01220099999.csv,62.45,7.7666666
0,01221099999.csv,63.05,9.083333300000001
0,01223099999.csv,63.11178100000001,7.824522
0,01224099999.csv,62.466666599999996,6.2166666
0,01225099999.csv,63.51666659999999,7.95
0,01227099999.csv,62.716666599999996,8.7833333
0,01228099999.csv,63.85,8.4666666
0,01230099999.csv,62.26666659999999,8.2
0,01232099999.csv,62.45,7.85
0,01233099999.csv,62.0833333,9.1166666
